date,tvl_usd
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,0
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,0
2017-11-03,0
2017-11-04,0
2017-11-05,0
2017-11-06,0
2017-11-07,0
2017-11-08,0
2017-11-09,0
2017-11-10,0
2017-11-11,0
2017-11-12,0
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,0
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,0
2017-11-21,0
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,0
2017-11-28,0
2017-11-29,0
2017-11-30,0
2017-12-01,0
2017-12-02,0
2017-12-03,0
2017-12-04,0
2017-12-05,0
2017-12-06,0
2017-12-07,0
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,0
2017-12-12,0
2017-12-13,0
2017-12-14,0
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,0
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,0
2017-12-28,0
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,0
2018-01-03,0
2018-01-04,0
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,0
2018-01-30,0
2018-01-31,0
2018-02-01,0
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,0
2018-02-06,0
2018-02-07,0
2018-02-08,0
2018-02-09,0
2018-02-10,0
2018-02-11,0
2018-02-12,6685317
2018-02-13,6685317
2018-02-14,6685317
2018-02-15,7335070
2018-02-16,11799306
2018-02-17,11799306
2018-02-18,11799306
2018-02-19,11799306
2018-02-20,11799306
2018-02-21,11620897
2018-02-22,9686994
2018-02-23,11924788
2018-02-24,11924788
2018-02-25,11924788
2018-02-26,11293138
2018-02-27,11293138
2018-02-28,18351636
2018-03-01,18351636
2018-03-02,18351636
2018-03-03,18351636
2018-03-04,18351636
2018-03-05,18351636
2018-03-06,15284730
2018-03-07,15284730
2018-03-08,14201508
2018-03-09,14201508
2018-03-10,14201508
2018-03-11,14201508
2018-03-12,14201508
2018-03-13,14201508
2018-03-14,14529180
2018-03-15,10883302
2018-03-16,10883302
2018-03-17,10883302
2018-03-18,10883302
2018-03-19,10883302
2018-03-20,10883302
2018-03-21,10883302
2018-03-22,10883302
2018-03-23,10883302
2018-03-24,10883302
2018-03-25,10883302
2018-03-26,10883302
2018-03-27,10883302
2018-03-28,10883302
2018-03-29,10975192
2018-03-30,8872233
2018-03-31,8872233
2018-04-01,8872233
2018-04-02,8872233
2018-04-03,8709109
2018-04-04,8709109
2018-04-05,8709109
2018-04-06,8994812
2018-04-07,11513795
2018-04-08,11513795
2018-04-09,11513795
2018-04-10,11513795
2018-04-11,11513795
2018-04-12,11513795
2018-04-13,11513795
2018-04-14,11599561
2018-04-15,11860237
2018-04-16,16745423
2018-04-17,16745423
2018-04-18,16745423
2018-04-19,16745423
2018-04-20,19173183
2018-04-21,19173183
2018-04-22,19557950
2018-04-23,21963401
2018-04-24,21963401
2018-04-25,21963401
2018-04-26,21963401
2018-04-27,22367479
2018-04-28,28948697
2018-04-29,28977326
2018-04-30,28969763
2018-05-01,28984307
2018-05-02,28977941
2018-05-03,35203792
2018-05-04,29514151
2018-05-05,29565821
2018-05-06,29590838
2018-05-07,29584982
2018-05-08,23996888
2018-05-09,24006329
2018-05-10,29220087
2018-05-11,29200576
2018-05-12,29180118
2018-05-13,29161024
2018-05-14,29172651
2018-05-15,29192404
2018-05-16,27637293
2018-05-17,27621514
2018-05-18,26702764
2018-05-19,30301579
2018-05-20,30305637
2018-05-21,30318592
2018-05-22,29046638
2018-05-23,29017571
2018-05-24,28956511
2018-05-25,28999900
2018-05-26,28971623
2018-05-27,24783617
2018-05-28,24794527
2018-05-29,24743844
2018-05-30,31952258
2018-05-31,31943323
2018-06-01,31963581
2018-06-02,31952510
2018-06-03,31986000
2018-06-04,30750887
2018-06-05,30741186
2018-06-06,30734367
2018-06-07,30749864
2018-06-08,30135166
2018-06-09,30137891
2018-06-10,30134960
2018-06-11,20200363
2018-06-12,20202458
2018-06-13,20177422
2018-06-14,20171150
2018-06-15,21673737
2018-06-16,21665463
2018-06-17,24002627
2018-06-18,24004364
2018-06-19,24031704
2018-06-20,24037291
2018-06-21,24045886
2018-06-22,23763827
2018-06-23,21165759
2018-06-24,21175105
2018-06-25,21162437
2018-06-26,21165475
2018-06-27,19744994
2018-06-28,19764441
2018-06-29,19771694
2018-06-30,22475278
2018-07-01,22483726
2018-07-02,22490475
2018-07-03,22513321
2018-07-04,22493042
2018-07-05,22510025
2018-07-06,22526670
2018-07-07,22495522
2018-07-08,25093689
2018-07-09,23126728
2018-07-10,19628038
2018-07-11,19573614
2018-07-12,19899688
2018-07-13,19890030
2018-07-14,19896837
2018-07-15,19888431
2018-07-16,19913834
2018-07-17,19929339
2018-07-18,19924898
2018-07-19,19894895
2018-07-20,20149827
2018-07-21,20590476
2018-07-22,20596340
2018-07-23,20605860
2018-07-24,20578762
2018-07-25,20265462
2018-07-26,20259382
2018-07-27,20250097
2018-07-28,17813102
2018-07-29,17815710
2018-07-30,17814972
2018-07-31,17810324
2018-08-01,17795180
2018-08-02,16575227
2018-08-03,16575865
2018-08-04,16174201
2018-08-05,16159086
2018-08-06,358439
2018-08-07,367117
2018-08-08,367758
2018-08-09,340001
2018-08-10,337587
2018-08-11,16800664
2018-08-12,16800809
2018-08-13,16533578
2018-08-14,16535473
2018-08-15,16534267
2018-08-16,16552382
2018-08-17,16562358
2018-08-18,16790597
2018-08-19,16788445
2018-08-20,16786536
2018-08-21,16782137
2018-08-22,16948572
2018-08-23,12059764
2018-08-24,14320257
2018-08-25,12189870
2018-08-26,13119602
2018-08-27,20787329
2018-08-28,21681043
2018-08-29,13842550
2018-08-30,13838204
2018-08-31,13826746
2018-09-01,33918185
2018-09-02,34461150
2018-09-03,34454043
2018-09-04,34394921
2018-09-05,34281081
2018-09-06,34141470
2018-09-07,31632459
2018-09-08,31627730
2018-09-09,31565234
2018-09-10,30914431
2018-09-11,32694805
2018-09-12,32416971
2018-09-13,32697437
2018-09-14,31981413
2018-09-15,17286027
2018-09-16,18181250
2018-09-17,16785441
2018-09-18,17156973
2018-09-19,17052370
2018-09-20,17295231
2018-09-21,17467378
2018-09-22,17735981
2018-09-23,12120894
2018-09-24,12001453
2018-09-25,10599223
2018-09-26,15541932
2018-09-27,11336827
2018-09-28,14120352
2018-09-29,15375082
2018-09-30,15840876
2018-10-01,16736615
2018-10-02,17016009
2018-10-03,16680954
2018-10-04,14741093
2018-10-05,15414443
2018-10-06,16097534
2018-10-07,15813653
2018-10-08,14055504
2018-10-09,14110331
2018-10-10,14232859
2018-10-11,14193284
2018-10-12,11928443
2018-10-13,12858389
2018-10-14,13118608
2018-10-15,13107525
2018-10-16,15120367
2018-10-17,14676038
2018-10-18,16459120
2018-10-19,15766661
2018-10-20,16173353
2018-10-21,15344886
2018-10-22,16626445
2018-10-23,17177485
2018-10-24,17060213
2018-10-25,17745805
2018-10-26,18335693
2018-10-27,16297339
2018-10-28,18124774
2018-10-29,18378903
2018-10-30,17137508
2018-10-31,15904405
2018-11-01,16170857
2018-11-02,16004698
2018-11-03,11825468
2018-11-04,18343307
2018-11-05,16132848
2018-11-06,16123521
2018-11-07,16610845
2018-11-08,16583198
2018-11-09,15826144
2018-11-10,15734245
2018-11-11,16062153
2018-11-12,15554185
2018-11-13,15761892
2018-11-14,15442880
2018-11-15,12952073
2018-11-16,12990309
2018-11-17,12813281
2018-11-18,12519141
2018-11-19,23183102
2018-11-20,10263670
2018-11-21,8741508
2018-11-22,9535385
2018-11-23,10694808
2018-11-24,10583791
2018-11-25,9642573
2018-11-26,10688756
2018-11-27,10013259
2018-11-28,11008664
2018-11-29,12544817
2018-11-30,12491893
2018-12-01,12166000
2018-12-02,13221851
2018-12-03,12384552
2018-12-04,10976654
2018-12-05,10974056
2018-12-06,9090091
2018-12-07,8277595
2018-12-08,8813639
2018-12-09,9296580
2018-12-10,8282530
2018-12-11,8164333
2018-12-12,8027331
2018-12-13,8382716
2018-12-14,7975874
2018-12-15,7395409
2018-12-16,7772209
2018-12-17,8236167
2018-12-18,9340631
2018-12-19,9786858
2018-12-20,9593244
2018-12-21,10845835
2018-12-22,11597399
2018-12-23,12002498
2018-12-24,13135497
